# Licensed under Apache License 2.0 — https://www.apache.org/licenses/LICENSE-2.0
# Copyright 2026 SemiAnalysis LLC. Data from InferenceX (https://github.com/SemiAnalysisAI/InferenceX).
# Attribution to InferenceX is required for any derivative work.
Model,ISL,OSL,Hardware,Hardware Key,Framework,Precision,TP,Concurrency,Date,Token Throughput per All in Utility MW (tok/s/MW),Interactivity (tok/s/user),Throughput/Chip (tok/s),Output Throughput/Chip (tok/s),Input Throughput/Chip (tok/s),Mean TTFT (s),Median TTFT (s),P99 TTFT (s),Std TTFT (s),Mean TPOT (s),Median TPOT (s),P99 TPOT (s),Std TPOT (s),Mean Interactivity (tok/s/user),Median Interactivity (tok/s/user),P99 Interactivity (tok/s/user),Std Interactivity (tok/s/user),Mean ITL (s),Median ITL (s),P99 ITL (s),Std ITL (s),Mean E2E Latency (s),Median E2E Latency (s),P99 E2E Latency (s),Std E2E Latency (s),Disaggregated,Num Prefill Chips,Num Decode Chips,Spec Decoding,EP,DP Attention,Is Multinode,Run URL
Kimi-K2.5,8192,1024,mi355x,mi355x_vllm,vllm,fp4,8,4,2026-08-22,237268.25395342338,116.19055511748279,495.89065076265484,55.163909873870764,440.7267408887841,0.24176197783090175,0.2092948849312961,0.629750811709091,0.10286661415551773,0.008579909842092314,0.008606551530706419,0.008839763496319954,0.00013668065380359527,116.55134126166271,116.19055511748279,113.12519847576307,7316.324382212574,0.00858226079540231,0.008119986625388265,0.010372392623685299,0.008290570186813001,8.12800114521524,8.05114144505933,9.175110352803022,0.5567295380299153,false,,,none,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29953041481/attempts/1
Kimi-K2.5,8192,1024,mi355x,mi355x_vllm,vllm,fp4,8,8,2026-08-22,420663.08301860857,103.45896465079876,879.1858435088919,98.8353173772081,780.3505261316839,0.30142852167482487,0.21520882798358798,1.2561422899737944,0.23049811262442646,0.009611303300560432,0.00966566796193315,0.010269269285265368,0.00033562568298382015,104.04416224610145,103.45896465079876,97.37791192551818,2979.509765491361,0.009625687630937556,0.008588728727772832,0.013558981479145575,0.012618517488506193,9.20085773576866,9.251055409898981,11.025149790882132,0.8086272114224428,false,,,none,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29953041481/attempts/1
Kimi-K2.5,8192,1024,mi355x,mi355x_vllm,vllm,fp4,8,16,2026-08-22,657681.9267772587,80.32523953718055,1374.5552269644706,152.30951241999335,1222.2457145444773,0.3753857367685214,0.2225287790024595,2.455719372959501,0.46806649728424415,0.01231203830788859,0.012449387088813161,0.013693788959928812,0.000686460226216249,81.22131973543961,80.32523953718055,73.02580775315224,1456.7486386093688,0.012331771274593634,0.01003656049942947,0.15137166649947176,0.01855639750443628,11.641691705987295,11.624780018999445,13.86988150793957,1.0935226166925824,false,,,none,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29953041481/attempts/1
Kimi-K2.5,8192,1024,mi355x,mi355x_vllm,vllm,fp4,8,32,2026-08-22,900220.7121236471,54.908869002392876,1881.4612883384223,210.3997199281798,1671.0615684102424,0.5446507409715877,0.2342610154992144,4.853480714797479,0.9079571843267163,0.017963918365423954,0.018211994130791893,0.020911649001765772,0.0014071395488214943,55.66714230480749,54.908869002392876,47.820236458423736,710.6615693074071,0.017996148604471133,0.013480744004482403,0.1615876534828567,0.02679092178490215,17.174385196971663,17.038793332998466,22.627549048592773,2.017937541999575,false,,,none,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29953041481/attempts/1
Kimi-K2.5,8192,1024,mi355x,mi355x_vllm,vllm,fp4,8,64,2026-08-22,1222043.0704979524,36.63877751447037,2554.0700173407204,283.3517781516362,2270.718239189084,0.8797591773371096,0.34260757779702544,9.70499859767966,1.84182097494768,0.026788646350094366,0.027293487060398046,0.03147395643948468,0.0025565325884724355,37.32924713444796,36.63877751447037,31.77230043902205,391.15480260610104,0.0268339486490476,0.017694047652184963,0.16952721387147904,0.03879596048021051,25.584894956833885,25.62168046203442,35.869354794872926,3.560052514749357,false,,,none,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29953041481/attempts/1
Kimi-K2.5,8192,1024,mi355x,mi355x_vllm,vllm,fp4,8,128,2026-08-22,1517731.826019613,22.592159368803177,3172.059516380991,351.3547584949033,2820.704757886088,1.4906720004368252,0.45255162892863154,18.810075422902592,3.5888453141708703,0.043279945398295785,0.04426314384896158,0.052436224912450306,0.004827349025188134,23.105389593198897,22.592159368803177,19.070785543193498,207.15303467435268,0.04335501368217744,0.02530151349492371,0.3031091850018129,0.05676433132967288,41.3385358000236,41.14083775016479,61.52379811136052,6.59923672712603,false,,,none,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29953041481/attempts/1
Kimi-K2.5,8192,1024,mi355x,mi355x_vllm,vllm,fp4,4,4,2026-08-22,469022.2659860471,114.77175478703516,980.2565359108384,109.0457807927896,871.2107551180487,0.27096438035041504,0.23860740000600345,0.7412425564382282,0.12014343155262006,0.008658617526944351,0.00871294511315568,0.008875529193697959,0.00016793420751975475,115.49187810734755,114.77175478703516,112.66933815169543,5954.7129484168145,0.00866473116553765,0.008096382996882312,0.010930118921241069,0.010014827075799907,8.228436580749985,8.13645698649998,9.434691897309603,0.5887011956324738,false,,,none,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29953041481/attempts/1
Kimi-K2.5,8192,1024,mi355x,mi355x_vllm,vllm,fp4,4,8,2026-08-22,758811.251850261,93.3086654625679,1585.9155163670455,178.28365248466437,1407.6318638823811,0.3354749825251929,0.24529860799884773,1.4868616119791103,0.27347106857128683,0.010667886301025858,0.010717118233795384,0.011413321933347206,0.0004390006107917161,93.7392817829186,93.3086654625679,87.6169099443538,2277.9011587171804,0.010683363412614232,0.009403750496858265,0.014624774403928318,0.01531575490079793,10.21518210656277,10.220878329000698,12.380545450849459,0.9494583219442556,false,,,none,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29953041481/attempts/1
Kimi-K2.5,8192,1024,mi355x,mi355x_vllm,vllm,fp4,4,16,2026-08-22,1085769.935706492,65.90160375231004,2269.259165626568,251.44843240272175,2017.8107332238465,0.4349761278564074,0.25363601349818055,2.953579884243953,0.5512772647260279,0.014999655604950285,0.015174137548434809,0.016572807341456497,0.0008516485514819505,66.66819734647598,65.90160375231004,60.33980721531246,1174.193272870486,0.015014885670117065,0.012364219499431783,0.18303177272340665,0.02249874256055365,14.15970748101886,14.109407634496165,16.858688008871177,1.3458837576754532,false,,,none,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29953041481/attempts/1
Kimi-K2.5,8192,1024,mi355x,mi355x_vllm,vllm,fp4,4,32,2026-08-22,1473503.7066325129,44.710516952916834,3079.6227468619513,344.3875074338803,2735.235239428071,0.6130972003531724,0.264265792498918,5.675065746872496,1.0647884788285296,0.022067173909007958,0.02236610238823825,0.026015980616249754,0.001777297083259715,45.31617886927486,44.710516952916834,38.43791301779313,562.6521358859794,0.022095000699698837,0.016830744003527798,0.19511121831819764,0.03175321738812232,21.03875129406581,20.886495688500872,27.937753942744894,2.5050301905111594,false,,,none,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29953041481/attempts/1
